z_mm,z_over_L,W_g,T_C,T_K,X_MeOH,y_CH3OH,y_DME,y_H2O,F_CH3OH_mol_h,F_DME_mol_h,F_H2O_mol_h
0.0000,0.000000,0.00000,200.0000,473.1500,0.000000,1.00000000,0.00000000,0.00000000,2.20250725e+01,0.00000000e+00,0.00000000e+00
0.2500,0.001667,0.03921,200.2008,473.3508,0.001039,0.99896095,0.00051953,0.00051953,2.20021873e+01,1.14425982e-02,1.14425982e-02
0.5000,0.003333,0.07841,200.4035,473.5535,0.002089,0.99791114,0.00104443,0.00104443,2.19790653e+01,2.30036269e-02,2.30036269e-02
0.7500,0.005000,0.11762,200.6083,473.7583,0.003150,0.99685037,0.00157482,0.00157482,2.19557016e+01,3.46854443e-02,3.46854443e-02
1.0000,0.006667,0.15683,200.8151,473.9651,0.004222,0.99577840,0.00211080,0.00211080,2.19320916e+01,4.64904780e-02,4.64904780e-02
1.2500,0.008333,0.19604,201.0241,474.1741,0.005305,0.99469503,0.00265249,0.00265249,2.19082301e+01,5.84212271e-02,5.84212271e-02
1.5000,0.010000,0.23524,201.2351,474.3851,0.006400,0.99360000,0.00320000,0.00320000,2.18841120e+01,7.04802657e-02,7.04802657e-02
1.7500,0.011667,0.27445,201.4484,474.5984,0.007507,0.99249308,0.00375346,0.00375346,2.18597320e+01,8.26702458e-02,8.26702458e-02
2.0000,0.013333,0.31366,201.6639,474.8139,0.008626,0.99137402,0.00431299,0.00431299,2.18350847e+01,9.49939003e-02,9.49939003e-02
2.2500,0.015000,0.35286,201.8817,475.0317,0.009757,0.99024257,0.00487871,0.00487871,2.18101644e+01,1.07454046e-01,1.07454046e-01
2.5000,0.016667,0.39207,202.1018,475.2518,0.010902,0.98909846,0.00545077,0.00545077,2.17849653e+01,1.20053588e-01,1.20053588e-01
2.7500,0.018333,0.43128,202.3243,475.4743,0.012059,0.98794142,0.00602929,0.00602929,2.17594815e+01,1.32795521e-01,1.32795521e-01
3.0000,0.020000,0.47048,202.5492,475.6992,0.013229,0.98677117,0.00661441,0.00661441,2.17337066e+01,1.45682937e-01,1.45682937e-01
3.2500,0.021667,0.50969,202.7766,475.9266,0.014413,0.98558742,0.00720629,0.00720629,2.17076345e+01,1.58719025e-01,1.58719025e-01
3.5000,0.023333,0.54890,203.0066,476.1566,0.015610,0.98438987,0.00780506,0.00780506,2.16812584e+01,1.71907079e-01,1.71907079e-01
3.7500,0.025000,0.58811,203.2391,476.3891,0.016822,0.98317822,0.00841089,0.00841089,2.16545715e+01,1.85250498e-01,1.85250498e-01
4.0000,0.026667,0.62731,203.4742,476.6242,0.018048,0.98195213,0.00902393,0.00902393,2.16275669e+01,1.98752796e-01,1.98752796e-01
4.2500,0.028333,0.66652,203.7121,476.8621,0.019289,0.98071129,0.00964435,0.00964435,2.16002373e+01,2.12417602e-01,2.12417602e-01
4.5000,0.030000,0.70573,203.9527,477.1027,0.020545,0.97945535,0.01027232,0.01027232,2.15725752e+01,2.26248670e-01,2.26248670e-01
4.7500,0.031667,0.74493,204.1961,477.3461,0.021816,0.97818396,0.01090802,0.01090802,2.15445728e+01,2.40249880e-01,2.40249880e-01
5.0000,0.033333,0.78414,204.4425,477.5925,0.023103,0.97689676,0.01155162,0.01155162,2.15162220e+01,2.54425245e-01,2.54425245e-01
5.2500,0.035000,0.82335,204.6918,477.8418,0.024407,0.97559337,0.01220332,0.01220332,2.14875147e+01,2.68778919e-01,2.68778919e-01
5.5000,0.036667,0.86256,204.9441,478.0941,0.025727,0.97427339,0.01286330,0.01286330,2.14584421e+01,2.83315204e-01,2.83315204e-01
5.7500,0.038333,0.90176,205.1995,478.3495,0.027064,0.97293643,0.01353179,0.01353179,2.14289954e+01,2.98038552e-01,2.98038552e-01
6.0000,0.040000,0.94097,205.4581,478.6081,0.028418,0.97158206,0.01420897,0.01420897,2.13991654e+01,3.12953577e-01,3.12953577e-01
6.2500,0.041667,0.98018,205.7200,478.8700,0.029790,0.97020985,0.01489507,0.01489507,2.13689424e+01,3.28065061e-01,3.28065061e-01
6.5000,0.043333,1.01938,205.9852,479.1352,0.031181,0.96881936,0.01559032,0.01559032,2.13383166e+01,3.43377961e-01,3.43377961e-01
6.7500,0.045000,1.05859,206.2538,479.4038,0.032590,0.96741010,0.01629495,0.01629495,2.13072777e+01,3.58897421e-01,3.58897421e-01
7.0000,0.046667,1.09780,206.5259,479.6759,0.034018,0.96598161,0.01700920,0.01700920,2.12758150e+01,3.74628776e-01,3.74628776e-01
7.2500,0.048333,1.13701,206.8016,479.9516,0.035467,0.96453337,0.01773332,0.01773332,2.12439174e+01,3.90577566e-01,3.90577566e-01
7.5000,0.050000,1.17621,207.0810,480.2310,0.036935,0.96306486,0.01846757,0.01846757,2.12115734e+01,4.06749545e-01,4.06749545e-01
7.7500,0.051667,1.21542,207.3641,480.5141,0.038424,0.96157555,0.01921223,0.01921223,2.11787711e+01,4.23150691e-01,4.23150691e-01
8.0000,0.053333,1.25463,207.6512,480.8012,0.039935,0.96006486,0.01996757,0.01996757,2.11454981e+01,4.39787221e-01,4.39787221e-01
8.2500,0.055000,1.29383,207.9422,481.0922,0.041468,0.95853220,0.02073390,0.02073390,2.11117413e+01,4.56665597e-01,4.56665597e-01
8.5000,0.056667,1.33304,208.2373,481.3873,0.043023,0.95697698,0.02151151,0.02151151,2.10774874e+01,4.73792547e-01,4.73792547e-01
8.7500,0.058333,1.37225,208.5366,481.6866,0.044601,0.95539855,0.02230072,0.02230072,2.10427224e+01,4.91175072e-01,4.91175072e-01
